% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 42.51    0.018065         361        50           clone
 29.00    0.012324           1     12737           _newselect
 21.29    0.009047           2      3894           read
  6.39    0.002715           1      1836           poll
  0.31    0.000130           0      6991      4015 stat64
  0.27    0.000113           0       852           getdents64
  0.17    0.000074           1       103           munmap
  0.07    0.000028           0      1124        93 open
  0.00    0.000000           0        72           write
  0.00    0.000000           0      1117           close
  0.00    0.000000           0        12         4 unlink
  0.00    0.000000           0         2           execve
  0.00    0.000000           0      1124         7 chdir
  0.00    0.000000           0         3           mknod
  0.00    0.000000           0        11           chmod
  0.00    0.000000           0       106           lseek
  0.00    0.000000           0        27           getpid
  0.00    0.000000           0        49        46 access
  0.00    0.000000           0         1           mkdir
  0.00    0.000000           0        38           pipe
  0.00    0.000000           0        65           brk
  0.00    0.000000           0        16         1 ioctl
  0.00    0.000000           0        80           umask
  0.00    0.000000           0         1           dup2
  0.00    0.000000           0         2           getppid
  0.00    0.000000           0         2           setrlimit
  0.00    0.000000           0         1           getrusage
  0.00    0.000000           0         2           ftruncate
  0.00    0.000000           0        41           wait4
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0        37           sigreturn
  0.00    0.000000           0        12           uname
  0.00    0.000000           0       118           mprotect
  0.00    0.000000           0        68           _llseek
  0.00    0.000000           0        30           getdents
  0.00    0.000000           0       148           flock
  0.00    0.000000           0         2         2 msync
  0.00    0.000000           0         3           sched_get_priority_max
  0.00    0.000000           0         3           sched_get_priority_min
  0.00    0.000000           0       108           rt_sigaction
  0.00    0.000000           0         4           rt_sigprocmask
  0.00    0.000000           0       599           getcwd
  0.00    0.000000           0         3           ugetrlimit
  0.00    0.000000           0       774           mmap2
  0.00    0.000000           0        54           lstat64
  0.00    0.000000           0      1377           fstat64
  0.00    0.000000           0        16           getuid32
  0.00    0.000000           0         1           getgid32
  0.00    0.000000           0         2           geteuid32
  0.00    0.000000           0        60           fcntl64
  0.00    0.000000           0      1437         7 futex
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         9           socket
  0.00    0.000000           0         2           bind
  0.00    0.000000           0         6         6 connect
  0.00    0.000000           0         1           listen
  0.00    0.000000           0         1           accept
  0.00    0.000000           0         2           getsockname
  0.00    0.000000           0         1           getpeername
  0.00    0.000000           0         1           send
  0.00    0.000000           0         1           recv
  0.00    0.000000           0         3           setsockopt
  0.00    0.000000           0         2           getsockopt
  0.00    0.000000           0         1           faccessat
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           pipe2
  0.00    0.000000           0         1           getrandom
  0.00    0.000000           0         3         1 cacheflush
  0.00    0.000000           0         2           set_tls
------ ----------- ----------- --------- --------- ----------------
100.00    0.042496                 35255      4182 total
